FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z,VX,VY,VZ,VELOCITY
1,0.0,skull,midpoint,calculated,391.053,333.058,184.309,,,,
1,0.0,skull,phantom1,Measured,420.021,336.023,221.578,,,,
1,0.0,skull,phantom2,Measured,392.559,394.919,178.217,,,,
1,0.0,skull,phantom3,Measured,452.606,326.032,134.406,,,,
1,0.0,skull,phantom4,Measured,390.291,301.795,187.388,,,,
1,0.0,catheter3_mid3,tip1,Measured,-158.736,282.482,177.347,,,,
1,0.0,catheter3_mid3,tip2,Measured,-183.751,329.133,59.516,,,,
1,0.0,catheter3_mid3,tip3,Measured,-173.173,285.628,181.09,,,,
1,0.0,catheter3_mid3,tip4,Measured,-175.045,292.486,233.363,,,,
1,0.0,catheter3_mid3,tip5,Measured,-178.478,254.326,217.758,,,,
1,0.0,catheter3_mid3,tip6,Measured,-144.925,248.46,266.738,,,,
1,0.0,catheter3_mid3,tip7,Mixed,-199.502,359.565,-2.851,,,,
2,0.005,skull,midpoint,calculated,391.053,333.058,184.309,,,,
7,0.03,skull,phantom1,Measured,420.026,336.349,221.357,7.0,-0.8,-5.4,13.859
7,0.03,skull,phantom2,Measured,392.388,395.122,177.751,-3.2,2.2,-6.1,16.782
7,0.03,skull,phantom3,Measured,452.774,326.609,134.225,16.1,23.2,-4.6,41.135
7,0.03,skull,phantom4,Measured,390.375,301.574,187.636,-10.3,14.6,-52.9,56.21
8,0.035,catheter3_mid3,tip1,Measured,-154.174,290.052,176.071,35.6,159.0,-71.1,176.686
8,0.035,catheter3_mid3,tip2,Measured,-179.931,337.229,58.692,59.1,222.4,-43.4,234.223
8,0.035,catheter3_mid3,tip3,Measured,-168.363,292.884,180.07,37.4,143.1,-67.0,168.179
8,0.035,catheter3_mid3,tip4,Measured,-170.436,299.508,231.957,16.8,105.7,-58.9,123.165
8,0.035,catheter3_mid3,tip5,Measured,-172.969,261.301,216.775,30.1,115.3,-99.8,151.268
8,0.035,catheter3_mid3,tip6,Measured,-139.358,255.902,265.361,7.0,79.6,-109.2,133.031
10,0.045,catheter3_mid3,tip7,Mixed,-195.584,369.776,-4.495,31.2,236.2,-36.2,241.351
16,0.075,skull,midpoint,calculated,391.053,333.058,184.309,,,,
16,0.075,skull,phantom1,Measured,420.186,336.056,221.699,-0.2,-0.7,0.9,1.386
16,0.075,skull,phantom3,Measured,452.726,326.033,134.5,-1.5,-2.0,-0.1,2.363
20,0.095,skull,phantom4,Measured,390.296,301.671,187.422,1.2,0.1,0.2,1.328
23,0.11,catheter3_mid3,tip7,Mixed,-194.144,383.461,-6.454,55.9,132.4,-6.4,144.293
24,0.115,catheter3_mid3,tip1,Measured,-155.795,297.733,170.5,43.8,101.1,-5.7,109.458
24,0.115,catheter3_mid3,tip2,Measured,-177.035,352.117,55.106,53.6,115.5,-4.2,127.388
24,0.115,catheter3_mid3,tip3,Measured,-170.26,300.044,173.686,41.0,86.9,-9.6,102.794
24,0.115,catheter3_mid3,tip4,Measured,-176.106,302.071,225.769,40.0,85.4,-8.0,97.325
24,0.115,catheter3_mid3,tip5,Measured,-177.441,265.651,206.787,49.6,79.7,-22.1,105.178
24,0.115,catheter3_mid3,tip6,Measured,-147.561,255.377,257.212,50.8,91.4,-12.2,108.059
29,0.14,skull,phantom2,Measured,392.548,394.756,178.199,0.6,-0.2,1.4,1.465
31,0.15,skull,midpoint,calculated,391.053,333.058,184.309,,,,
32,0.155,skull,phantom3,Measured,452.683,326.018,134.512,-1.1,-0.7,-0.8,1.446
32,0.155,catheter3_mid3,tip7,Mixed,-191.513,386.098,-5.679,34.9,-43.2,42.8,76.102
34,0.165,catheter3_mid3,tip2,Measured,-174.529,354.471,56.898,34.9,-36.0,78.5,95.259
39,0.19,skull,phantom1,Measured,420.167,336.044,221.681,0.8,-0.7,-0.4,1.226
39,0.19,skull,phantom4,Measured,390.284,301.634,187.419,-0.4,-0.7,-0.2,1.388
40,0.195,catheter3_mid3,tip1,Measured,-148.776,304.932,177.139,30.5,20.4,159.2,161.997
41,0.2,catheter3_mid3,tip3,Measured,-163.021,307.5,181.774,14.2,12.4,161.8,162.492
41,0.2,catheter3_mid3,tip4,Measured,-165.993,313.635,233.711,25.6,87.6,151.0,176.639
41,0.2,catheter3_mid3,tip5,Measured,-167.573,275.719,217.993,11.7,58.9,200.2,210.026
41,0.2,catheter3_mid3,tip6,Measured,-134.741,270.322,267.203,15.7,117.4,206.0,239.536
44,0.215,skull,phantom2,Measured,392.549,394.776,178.19,-0.8,0.6,0.1,1.334
46,0.225,skull,midpoint,calculated,391.053,333.058,184.309,,,,
54,0.265,skull,phantom3,Measured,452.695,325.978,134.517,1.4,0.6,-0.7,1.684
55,0.27,catheter3_mid3,tip2,Measured,-169.99,342.377,70.226,60.7,-184.5,167.7,265.164
58,0.285,skull,phantom2,Measured,392.555,394.759,178.205,-0.7,0.9,-0.5,1.129
58,0.285,catheter3_mid3,tip3,Measured,-169.739,297.909,196.027,-42.4,-179.6,203.9,277.24
59,0.29,skull,phantom1,Measured,420.166,336.05,221.705,0.7,-0.6,0.4,1.204
59,0.29,skull,phantom4,Measured,390.289,301.668,187.415,0.0,1.9,0.8,1.541
59,0.29,catheter3_mid3,tip1,Measured,-155.29,293.656,194.713,-18.7,-171.6,221.9,283.47
59,0.29,catheter3_mid3,tip4,Measured,-178.361,303.945,248.07,-76.4,-162.2,196.6,269.054
59,0.29,catheter3_mid3,tip5,Measured,-180.407,265.909,232.518,-65.2,-166.5,203.4,272.002
59,0.29,catheter3_mid3,tip6,Measured,-153.869,259.215,285.187,-120.5,-158.5,237.7,312.59
59,0.29,catheter3_mid3,tip7,Mixed,-181.506,365.328,9.351,124.7,-260.3,178.2,338.854
60,0.295,skull,midpoint,calculated,391.053,333.058,184.309,,,,
60,0.295,skull,phantom2,Measured,392.554,394.779,178.197,0.5,0.2,1.3,1.08
64,0.315,skull,phantom3,Measured,452.69,325.985,134.495,0.1,-0.5,0.0,1.027
64,0.315,catheter3_mid3,tip3,Measured,-169.08,293.197,202.782,93.2,-139.9,236.9,294.822
65,0.32,catheter3_mid3,tip1,Measured,-153.918,289.046,201.952,103.1,-134.4,257.3,303.922
70,0.345,skull,phantom1,Measured,420.169,336.047,221.681,-0.6,0.1,1.6,1.342
71,0.35,catheter3_mid3,tip2,Measured,-161.56,322.444,86.733,173.1,-288.6,233.2,410.366
72,0.355,catheter3_mid3,tip7,Mixed,-171.185,344.971,21.537,228.5,-336.0,221.0,463.88
73,0.36,skull,phantom4,Measured,390.285,301.64,187.421,0.1,-0.2,0.5,1.081
74,0.365,catheter3_mid3,tip4,Measured,-169.747,298.199,266.408,132.4,-121.3,267.1,322.933
74,0.365,catheter3_mid3,tip5,Measured,-172.051,258.763,254.661,158.1,-139.6,311.9,372.562
74,0.365,catheter3_mid3,tip6,Measured,-144.881,257.305,307.565,134.0,-70.9,320.1,355.958
75,0.37,skull,midpoint,calculated,391.053,333.058,184.309,,,,
77,0.38,skull,phantom4,Measured,390.288,301.676,187.418,0.6,0.5,0.3,0.832
83,0.41,skull,phantom1,Measured,420.151,336.059,221.689,0.3,-0.9,-0.1,1.038
86,0.425,catheter3_mid3,tip1,Measured,-138.285,270.055,235.174,157.5,-204.7,384.7,468.183
87,0.43,skull,phantom2,Measured,392.558,394.75,178.196,-0.8,0.4,-0.4,1.426
87,0.43,catheter3_mid3,tip3,Measured,-152.386,272.175,237.326,162.7,-201.7,365.3,447.862
87,0.43,catheter3_mid3,tip4,Measured,-165.541,285.458,286.163,85.3,-150.3,329.9,371.41
87,0.43,catheter3_mid3,tip5,Measured,-164.922,245.436,275.801,118.8,-160.8,373.9,424.679
87,0.43,catheter3_mid3,tip6,Measured,-142.987,247.096,331.1,36.4,-89.2,410.4,421.555
87,0.43,catheter3_mid3,tip7,Mixed,-147.458,314.94,42.147,375.7,-402.8,330.6,650.882
88,0.435,skull,phantom3,Measured,452.773,325.977,134.498,-0.5,-0.1,-0.1,4.294
89,0.44,catheter3_mid3,tip2,Measured,-137.042,293.877,114.283,326.1,-325.4,361.1,585.718
90,0.445,skull,midpoint,calculated,391.053,333.058,184.309,,,,
94,0.465,skull,phantom1,Measured,420.16,336.06,221.67,1.0,0.1,0.5,1.29
100,0.495,skull,phantom3,Measured,452.71,326.014,134.502,-1.1,-0.5,0.3,1.123
100,0.495,catheter3_mid3,tip2,Measured,-115.723,278.656,137.334,478.4,-207.8,488.9,714.207
101,0.5,skull,midpoint,calculated,391.053,333.058,184.309,,,,
101,0.5,skull,phantom1,Measured,420.143,336.065,221.655,-0.8,0.8,1.0,1.356
101,0.5,skull,phantom2,Measured,392.537,394.78,178.183,-0.8,-1.9,1.8,1.587
101,0.5,skull,phantom2,Measured,392.537,394.78,178.183,-0.8,-1.9,1.8,1.587
101,0.5,skull,phantom3,Measured,452.701,326.008,134.476,-0.2,0.0,0.1,0.928
101,0.5,skull,phantom4,Measured,390.298,301.68,187.423,-0.2,0.0,1.5,1.422
101,0.5,catheter3_mid3,tip1,Measured,-121.999,259.276,267.778,274.3,-85.4,499.0,578.53
101,0.5,catheter3_mid3,tip1,Measured,-121.999,259.276,267.778,274.3,-85.4,499.0,578.53
101,0.5,catheter3_mid3,tip2,Measured,-113.291,277.669,139.787,493.2,-190.7,502.3,729.688
101,0.5,catheter3_mid3,tip3,Measured,-137.048,261.925,266.24,270.5,-112.1,475.7,556.412
101,0.5,catheter3_mid3,tip4,Measured,-155.265,278.668,312.346,162.4,-95.4,431.4,468.007
101,0.5,catheter3_mid3,tip5,Measured,-152.467,238.081,305.643,224.6,-98.0,458.6,517.92
101,0.5,catheter3_mid3,tip6,Measured,-135.8,245.102,362.39,108.7,-41.8,491.1,501.217
101,0.5,catheter3_mid3,tip7,Mixed,-114.32,290.79,69.907,599.9,-290.0,480.9,819.953
101,0.5,catheter3_mid3,tip7,Mixed,-114.32,290.79,69.907,599.9,-290.0,480.9,819.953
102,0.505,skull,phantom4,Measured,390.298,301.667,187.43,-0.4,1.1,-0.1,1.615
102,0.505,catheter3_mid3,tip3,Measured,-135.685,261.35,268.657,276.6,-102.6,484.2,563.227
103,0.51,catheter3_mid3,tip4,Measured,-153.646,277.754,316.717,148.5,-86.1,428.0,463.581
103,0.51,catheter3_mid3,tip5,Measured,-150.161,237.138,310.229,240.8,-90.6,472.4,528.746
103,0.51,catheter3_mid3,tip6,Measured,-134.72,244.727,367.287,104.9,-24.9,488.1,502.131
104,0.515,skull,midpoint,calculated,391.053,333.058,184.309,,,,
106,0.525,skull,phantom4,Measured,390.292,301.699,187.429,0.3,1.2,-1.3,1.496
112,0.555,catheter3_mid3,tip1,Measured,-106.017,258.542,297.382,297.5,65.6,562.9,641.252
113,0.56,skull,phantom3,Measured,452.714,326.034,134.486,-0.1,-0.1,-0.1,0.698
113,0.56,catheter3_mid3,tip3,Measured,-119.295,259.841,296.407,307.1,54.3,532.5,619.991
113,0.56,catheter3_mid3,tip4,Measured,-145.309,277.059,338.687,184.5,83.0,449.2,492.962
113,0.56,catheter3_mid3,tip6,Measured,-129.763,248.029,392.821,91.0,174.2,526.8,564.264
114,0.565,catheter3_mid3,tip2,Measured,-77.502,270.756,176.417,561.0,-45.2,614.5,835.073
114,0.565,catheter3_mid3,tip5,Measured,-136.571,237.1,337.445,242.9,102.2,535.2,595.251
114,0.565,catheter3_mid3,tip7,Mixed,-70.244,279.34,106.256,681.8,-118.3,614.5,931.659
117,0.58,skull,phantom1,Measured,420.158,336.084,221.666,0.4,0.2,-0.3,1.992
117,0.58,skull,phantom2,Measured,392.532,394.763,178.159,1.3,0.8,-0.1,1.383
119,0.59,skull,midpoint,calculated,391.053,333.058,184.309,,,,
120,0.595,skull,phantom3,Measured,452.698,326.023,134.485,1.1,0.4,-0.2,1.052
121,0.6,catheter3_mid3,tip3,Measured,-107.251,263.84,319.372,305.0,140.3,618.7,699.808
122,0.605,catheter3_mid3,tip1,Measured,-91.371,264.541,327.657,290.5,153.1,645.5,720.42
127,0.63,skull,phantom4,Measured,390.295,301.667,187.434,0.9,-0.6,-0.8,1.217
128,0.635,catheter3_mid3,tip7,Mixed,-23.375,273.559,155.452,662.7,-2.5,762.6,1010.511
