FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z,VX,VY,VZ,VELOCITY,ANGLEXY,ANGLEXZ,ANGLEYZ
1,0.0,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
1,0.0,skull,phantom1,Measured,420.396,336.939,221.258,,,,,286.708,241.412,40.525
1,0.0,skull,phantom2,Measured,390.742,395.338,178.015,,,,,165.05,319.458,46.497
1,0.0,skull,phantom3,Measured,452.445,328.401,133.771,,,,,207.999,263.913,262.607
1,0.0,skull,phantom4,Measured,391.209,301.834,187.465,,,,,255.414,277.877,255.218
1,0.0,catheter3_mid3,tip1,Measured,316.85,469.975,47.197,,,,,336.372,260.966,29.896
1,0.0,catheter3_mid3,tip2,Measured,190.787,472.385,17.597,,,,,211.343,317.841,133.139
1,0.0,catheter3_mid3,tip3,Measured,319.164,462.62,34.197,,,,,190.056,304.153,306.439
1,0.0,catheter3_mid3,tip4,Measured,364.573,439.593,30.081,,,,,306.943,172.789,295.798
1,0.0,catheter3_mid3,tip5,Measured,363.841,482.163,30.83,,,,,179.679,114.144,185.994
1,0.0,catheter3_mid3,tip6,Measured,412.322,467.384,61.843,,,,,238.781,275.812,281.772
1,0.0,catheter3_mid3,tip7,Mixed,122.597,465.988,-0.995,,,,,139.661,338.431,316.609
2,0.005,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
6,0.025,skull,phantom1,Measured,420.033,337.042,221.09,-8.1,-1.2,-3.4,7.209,277.878,250.028,222.995
6,0.025,skull,phantom3,Measured,452.171,328.175,133.742,-24.5,-10.0,5.7,17.392,296.905,253.818,311.511
6,0.025,catheter3_mid3,tip3,Measured,318.831,462.304,34.376,-3.3,-6.6,-13.6,25.725,271.517,338.813,8.242
6,0.025,catheter3_mid3,tip5,Measured,363.581,481.731,30.41,17.1,-26.4,8.6,24.515,331.632,267.529,273.008
6,0.025,catheter3_mid3,tip6,Measured,411.867,467.157,61.889,-9.8,-14.0,4.8,16.443,266.431,266.166,164.299
7,0.03,skull,phantom2,Measured,390.898,395.015,178.394,-56.9,-6.1,-39.8,61.409,19.203,273.71,136.861
7,0.03,skull,phantom4,Measured,391.132,301.331,187.338,-52.5,-15.2,-28.7,39.863,345.623,276.572,356.628
7,0.03,catheter3_mid3,tip4,Measured,364.776,438.839,30.4,3.9,22.3,-13.9,34.032,268.28,281.918,306.098
8,0.035,catheter3_mid3,tip1,Measured,317.037,469.687,47.521,5.0,-1.9,-1.2,5.026,243.515,173.953,242.904
8,0.035,catheter3_mid3,tip2,Measured,190.826,471.926,18.305,18.7,-2.3,-49.5,50.357,97.564,206.984,23.743
9,0.04,catheter3_mid3,tip7,Mixed,122.724,464.982,-0.308,-2.0,1.4,-3.5,49.373,275.861,241.653,25.478
13,0.06,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
16,0.075,catheter3_mid3,tip4,Measured,364.799,439.49,30.034,14.5,3.3,0.7,17.442,244.363,256.112,233.661
17,0.08,skull,phantom1,Measured,420.355,336.998,221.198,-0.1,-0.4,-0.2,0.977,338.236,261.193,82.032
17,0.08,skull,phantom2,Measured,390.755,394.773,177.954,0.2,-1.4,0.8,1.768,145.5,180.018,140.609
17,0.08,skull,phantom3,Measured,452.458,328.049,133.821,-0.4,1.4,1.4,0.915,357.952,269.687,171.591
17,0.08,skull,phantom4,Measured,391.205,301.493,187.559,-0.5,-0.1,-0.9,13.085,243.077,164.009,302.693
17,0.08,catheter3_mid3,tip1,Measured,316.843,469.603,47.22,-1.7,-0.2,1.2,2.824,268.596,290.555,352.059
17,0.08,catheter3_mid3,tip2,Measured,190.798,471.891,17.464,0.3,-0.8,-3.3,2.187,145.547,269.53,269.588
17,0.08,catheter3_mid3,tip6,Measured,412.301,467.184,61.918,1.0,0.8,0.4,1.276,280.224,203.662,59.799
21,0.1,catheter3_mid3,tip3,Measured,319.171,462.295,34.078,1.1,0.4,2.1,2.076,297.096,236.807,3.97
21,0.1,catheter3_mid3,tip5,Measured,363.929,481.445,30.425,0.0,1.8,-2.2,2.099,103.689,266.192,227.199
21,0.1,catheter3_mid3,tip7,Mixed,122.531,465.608,-1.003,-0.3,0.9,-0.6,2.18,279.021,240.434,21.771
24,0.115,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
24,0.115,skull,phantom2,Measured,390.762,394.718,178.027,1.3,-0.6,0.6,1.269,273.018,356.112,279.205
24,0.115,skull,phantom4,Measured,391.201,301.574,187.517,-0.7,0.6,-1.4,1.798,135.478,270.507,290.51
26,0.125,catheter3_mid3,tip3,Measured,319.195,462.209,34.166,1.1,12.5,-6.8,7.558,270.0,159.893,180.0
28,0.135,skull,phantom3,Measured,452.492,327.998,133.928,0.3,0.1,-0.5,0.933,319.988,91.089,326.819
28,0.135,catheter3_mid3,tip7,Mixed,122.709,465.021,-0.359,-0.3,0.9,-2.1,52.912,254.705,157.951,164.448
29,0.14,catheter3_mid3,tip1,Measured,316.83,469.521,47.347,0.6,2.5,-2.2,2.77,306.559,330.282,206.586
29,0.14,catheter3_mid3,tip4,Measured,364.635,439.421,29.995,-1.7,1.3,-2.3,3.082,206.437,303.948,312.56
29,0.14,catheter3_mid3,tip5,Measured,363.921,481.405,30.525,-0.1,-2.3,-0.4,2.723,76.311,357.519,11.859
31,0.15,skull,phantom1,Measured,420.389,336.938,221.31,0.2,-1.4,-0.6,0.936,354.393,79.127,125.11
32,0.155,catheter3_mid3,tip6,Measured,412.323,467.111,62.006,1.1,-1.0,0.3,1.241,24.59,340.968,154.779
34,0.165,catheter3_mid3,tip2,Measured,190.676,471.752,17.463,-0.3,-2.2,-0.9,2.337,319.93,159.671,10.716
35,0.17,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
36,0.175,catheter3_mid3,tip3,Measured,319.171,462.209,34.128,-2.4,-12.0,7.2,11.214,219.942,253.248,286.581
38,0.185,skull,phantom1,Measured,420.35,336.976,221.236,-0.4,0.6,0.0,0.735,206.241,11.103,137.738
38,0.185,skull,phantom3,Measured,452.446,328.031,133.87,1.1,0.3,-1.0,1.573,256.171,209.718,178.629
38,0.185,skull,phantom4,Measured,391.2,301.51,187.539,1.1,-0.5,0.9,11.511,286.003,230.32,10.081
38,0.185,catheter3_mid3,tip1,Measured,316.851,469.557,47.264,-2.5,-3.6,3.6,3.286,235.775,334.718,7.211
38,0.185,catheter3_mid3,tip2,Measured,190.668,471.808,17.404,-0.2,0.0,0.5,1.726,36.093,160.495,1.391
38,0.185,catheter3_mid3,tip4,Measured,364.678,439.457,29.972,-0.3,-2.5,1.8,3.544,283.1,315.882,21.97
38,0.185,catheter3_mid3,tip5,Measured,363.917,481.425,30.441,0.2,-1.1,1.0,1.799,205.988,281.035,236.263
38,0.185,catheter3_mid3,tip6,Measured,412.295,467.142,61.943,-0.3,-0.6,0.3,0.867,334.155,189.841,47.527
44,0.215,skull,phantom2,Measured,390.781,394.717,178.068,-0.3,1.0,-0.5,3.478,310.506,41.202,65.043
44,0.215,catheter3_mid3,tip7,Mixed,122.686,465.015,-0.312,0.3,-1.8,-2.1,53.371,249.488,268.093,32.968
47,0.23,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
47,0.23,catheter3_mid3,tip6,Measured,412.303,467.085,62.026,0.6,-1.3,-1.2,1.446,29.896,338.607,213.571
49,0.24,skull,phantom1,Measured,420.359,336.927,221.333,0.3,-0.6,-0.3,0.933,282.946,223.174,266.658
49,0.24,catheter3_mid3,tip7,Mixed,122.503,465.527,-0.893,17.2,-50.5,57.3,27.524,241.699,275.978,32.169
51,0.25,catheter3_mid3,tip2,Measured,190.632,471.623,17.591,0.2,-2.5,2.2,3.088,75.142,66.838,284.211
